"Concept","Iteration","Scaled","Rescaled","Scenario"
"Damage",1,30,30,"Repair1"
"Damage",2,29.7369303512911,29.7369303512911,"Repair1"
"Damage",3,29.3770370635826,29.3770370635826,"Repair1"
"Damage",4,28.8872857276788,28.8872857276788,"Repair1"
"Damage",5,28.2256973147008,28.2256973147008,"Repair1"
"Damage",6,27.3410248787594,27.3410248787594,"Repair1"
"Damage",7,26.1745683398269,26.1745683398269,"Repair1"
"Damage",8,24.666102089561,24.666102089561,"Repair1"
"Damage",9,22.7664464688187,22.7664464688187,"Repair1"
"Damage",10,20.4584584332453,20.4584584332453,"Repair1"
"Damage",11,17.7838773082592,17.7838773082592,"Repair1"
"Damage",12,14.8637331162946,14.8637331162946,"Repair1"
"Damage",13,11.890820032903,11.890820032903,"Repair1"
"Damage",14,9.08351627473804,9.08351627473804,"Repair1"
"Damage",15,6.62545847016217,6.62545847016217,"Repair1"
"Damage",16,4.62813605681406,4.62813605681406,"Repair1"
"Damage",17,3.1217255606366,3.1217255606366,"Repair1"
"Damage",18,2.06248509179671,2.06248509179671,"Repair1"
"Damage",19,1.35673654191447,1.35673654191447,"Repair1"
"Damage",20,0.89826482868777,0.89826482868777,"Repair1"
"Gophers",1,50,50,"Repair1"
"Gophers",2,49.6744244539911,49.6744244539911,"Repair1"
"Gophers",3,49.2283709134786,49.2283709134786,"Repair1"
"Gophers",4,48.6201733043126,48.6201733043125,"Repair1"
"Gophers",5,47.796405966257,47.796405966257,"Repair1"
"Gophers",6,46.6910105256413,46.6910105256413,"Repair1"
"Gophers",7,45.2268930892395,45.2268930892395,"Repair1"
"Gophers",8,43.32257838171,43.32257838171,"Repair1"
"Gophers",9,40.9075245745647,40.9075245745647,"Repair1"
"Gophers",10,37.9491795091139,37.9491795091139,"Repair1"
"Gophers",11,34.4892349771158,34.4892349771158,"Repair1"
"Gophers",12,30.6719668923348,30.6719668923348,"Repair1"
"Gophers",13,26.7317871700445,26.7317871700445,"Repair1"
"Gophers",14,22.9228707857992,22.9228707857992,"Repair1"
"Gophers",15,19.4341041566918,19.4341041566918,"Repair1"
"Gophers",16,16.3578303600082,16.3578303600082,"Repair1"
"Gophers",17,13.7169634127969,13.7169634127969,"Repair1"
"Gophers",18,11.49988552034,11.49988552034,"Repair1"
"Gophers",19,9.67134012661906,9.67134012661906,"Repair1"
"Gophers",20,8.17193736971477,8.17193736971477,"Repair1"
"Herbicide",1,0.1,0.1,"Repair1"
"Herbicide",2,0.1,0.1,"Repair1"
"Herbicide",3,0.1,0.1,"Repair1"
"Herbicide",4,0.1,0.1,"Repair1"
"Herbicide",5,0.1,0.1,"Repair1"
"Herbicide",6,0.1,0.1,"Repair1"
"Herbicide",7,0.1,0.1,"Repair1"
"Herbicide",8,0.1,0.1,"Repair1"
"Herbicide",9,0.1,0.1,"Repair1"
"Herbicide",10,0.1,0.1,"Repair1"
"Herbicide",11,0.1,0.1,"Repair1"
"Herbicide",12,0.1,0.1,"Repair1"
"Herbicide",13,0.1,0.1,"Repair1"
"Herbicide",14,0.1,0.1,"Repair1"
"Herbicide",15,0.1,0.1,"Repair1"
"Herbicide",16,0.1,0.1,"Repair1"
"Herbicide",17,0.1,0.1,"Repair1"
"Herbicide",18,0.1,0.1,"Repair1"
"Herbicide",19,0.1,0.1,"Repair1"
"Herbicide",20,0.1,0.1,"Repair1"
"Repair",1,0.1,0.1,"Repair1"
"Repair",2,0.138691885653003,0.138691885653003,"Repair1"
"Repair",3,0.192354391459856,0.192354391459856,"Repair1"
"Repair",4,0.266779932652033,0.266779932652033,"Repair1"
"Repair",5,0.370002119138915,0.370002119138915,"Repair1"
"Repair",6,0.513162915989832,0.513162915989832,"Repair1"
"Repair",7,0.711715324658232,0.711715324658232,"Repair1"
"Repair",8,0.987091404249893,0.987091404249893,"Repair1"
"Repair",9,1.36901568167288,1.36901568167288,"Repair1"
"Repair",10,1.89871366379743,1.89871366379743,"Repair1"
"Repair",11,2.63336178347187,2.63336178347187,"Repair1"
"Repair",12,3.65225911356268,3.65225911356268,"Repair1"
"Repair",13,5.06538703353372,5.06538703353372,"Repair1"
"Repair",14,7.02528079243062,7.02528079243062,"Repair1"
"Repair",15,9.74349440344025,9.74349440344025,"Repair1"
"Repair",16,13.5134361166261,13.5134361166261,"Repair1"
"Repair",17,18.7420393666626,18.7420393666626,"Repair1"
"Repair",18,25.9936878074525,25.9936878074525,"Repair1"
"Repair",19,36.0511357709105,36.0511357709105,"Repair1"
"Repair",20,50,50,"Repair1"
"Trap",1,0.1,0.1,"Repair1"
"Trap",2,0.1,0.1,"Repair1"
"Trap",3,0.1,0.1,"Repair1"
"Trap",4,0.1,0.1,"Repair1"
"Trap",5,0.1,0.1,"Repair1"
"Trap",6,0.1,0.1,"Repair1"
"Trap",7,0.1,0.1,"Repair1"
"Trap",8,0.1,0.1,"Repair1"
"Trap",9,0.1,0.1,"Repair1"
"Trap",10,0.1,0.1,"Repair1"
"Trap",11,0.1,0.1,"Repair1"
"Trap",12,0.1,0.1,"Repair1"
"Trap",13,0.1,0.1,"Repair1"
"Trap",14,0.1,0.1,"Repair1"
"Trap",15,0.1,0.1,"Repair1"
"Trap",16,0.1,0.1,"Repair1"
"Trap",17,0.1,0.1,"Repair1"
"Trap",18,0.1,0.1,"Repair1"
"Trap",19,0.1,0.1,"Repair1"
"Trap",20,0.1,0.1,"Repair1"
"Weeds",1,30,30,"Repair1"
"Weeds",2,29.813675945991,29.813675945991,"Repair1"
"Weeds",3,29.5583339450927,29.5583339450927,"Repair1"
"Weeds",4,29.2100465643999,29.2100465643999,"Repair1"
"Weeds",5,28.7380883815726,28.7380883815726,"Repair1"
"Weeds",6,28.1044018870038,28.1044018870038,"Repair1"
"Weeds",7,27.2644973777401,27.2644973777401,"Repair1"
"Weeds",8,26.1713637387211,26.1713637387211,"Repair1"
"Weeds",9,24.7847211154599,24.7847211154599,"Repair1"
"Weeds",10,23.087969988406,23.087969988406,"Repair1"
"Weeds",11,21.1122784165982,21.1122784165982,"Repair1"
"Weeds",12,18.9582847861559,18.9582847861559,"Repair1"
"Weeds",13,16.7936537362799,16.7936537362799,"Repair1"
"Weeds",14,14.8090790208043,14.8090790208043,"Repair1"
"Weeds",15,13.1520495326837,13.1520495326837,"Repair1"
"Weeds",16,11.8850062789935,11.8850062789935,"Repair1"
"Weeds",17,10.9880954786535,10.9880954786535,"Repair1"
"Weeds",18,10.3904151661662,10.3904151661662,"Repair1"
"Weeds",19,10.0065473401899,10.0065473401899,"Repair1"
"Weeds",20,9.76249706448918,9.76249706448918,"Repair1"
"Damage",1,30,30,"Trap1"
"Damage",2,29.9389129609465,29.9389129609465,"Trap1"
"Damage",3,29.8545439135322,29.8545439135322,"Trap1"
"Damage",4,29.7382105116098,29.7382105116098,"Trap1"
"Damage",5,29.578170571014,29.578170571014,"Trap1"
"Damage",6,29.3587119766004,29.3587119766004,"Trap1"
"Damage",7,29.0591379264633,29.0591379264633,"Trap1"
